Omen1,Omen2,Omen3,Omen4
a small child breakdances before you,your bones will break,trip the next child you see,terrible
a dark wind blows by you on a long walk,a demon has his ass in your face,kiss the next person that crosses your path,wonderful
feel a little sad,Christ will return to earth,sprint to your local 7/11 and buy a Winewood Tipped Black and Mild,frightening
understand nothing,you have been cursed with stupidity,run into traffic,tempting
see a black cat cross your path,the gods have stopped listening,free yourself from this mortal coil,sensuous
wind whispers you secrets,penises around you have stopped working,eat the next animal you see,appalling
the sun sets too soon,your grandmother is trying to help you,beat it immediately,dreamy
the clouds take the shape of a dog,chemtrails are real,"go to your local DMV and demand to see Mary, she's the bitchy one",sweet
the ocean suddenly retreats,a tsunami is coming,get to high ground,shocking
fire looks more enticing then usual,you are immune to burns,stick your hand in a bonfire,hideous
